	0	1	2
0	-2.000000000	-2.000000000	0.003328900
1	-2.000000000	-1.899999976	0.003695082
2	-2.000000000	-1.799999952	0.004109866
3	-2.000000000	-1.700000048	0.004581179
4	-2.000000000	-1.600000024	0.005118527
5	-2.000000000	-1.500000000	0.005733402
6	-2.000000000	-1.399999976	0.006439737
7	-2.000000000	-1.299999952	0.007254559
8	-2.000000000	-1.200000048	0.008198774
9	-2.000000000	-1.100000024	0.009298215
10	-2.000000000	-1.000000000	0.010584956
11	-2.000000000	-0.899999976	0.012098919
12	-2.000000000	-0.800000012	0.013889777
13	-2.000000000	-0.699999988	0.016018864
14	-2.000000000	-0.600000024	0.018560046
15	-2.000000000	-0.500000000	0.021596830
16	-2.000000000	-0.400000006	0.025207033
17	-2.000000000	-0.300000012	0.029409898
18	-2.000000000	-0.200000003	0.033998478
19	-2.000000000	-0.100000001	0.038037878
20	-2.000000000	0.000000000	0.038855560
21	-2.000000000	0.100000001	0.034318633
22	-2.000000000	0.200000003	0.027714867
23	-2.000000000	0.300000012	0.021699831
24	-2.000000000	0.400000006	0.016863327
25	-2.000000000	0.500000000	0.013121089
26	-2.000000000	0.600000024	0.010255747
27	-2.000000000	0.699999988	0.008061834
28	-2.000000000	0.800000012	0.006374948
29	-2.000000000	0.899999976	0.005070320
30	-2.000000000	1.000000000	0.004054920
31	-2.000000000	1.100000024	0.003259607
32	-2.000000000	1.200000048	0.002632861
33	-2.000000000	1.299999952	0.002136098
34	-2.000000000	1.399999976	0.001740224
35	-2.000000000	1.500000000	0.001423152
36	-2.000000000	1.600000024	0.001168001
37	-2.000000000	1.700000048	0.000961776
38	-2.000000000	1.799999952	0.000794417
39	-2.000000000	1.899999976	0.000658079
40	-2.000000000	2.000000000	0.000546617
41	-1.899999976	-2.000000000	0.003695082
42	-1.899999976	-1.899999976	0.004101649
43	-1.899999976	-1.799999952	0.004562195
44	-1.899999976	-1.700000048	0.005085520
45	-1.899999976	-1.600000024	0.005682202
46	-1.899999976	-1.500000000	0.006364994
47	-1.899999976	-1.399999976	0.007149385
48	-1.899999976	-1.299999952	0.008054293
49	-1.899999976	-1.200000048	0.009102954
50	-1.899999976	-1.100000024	0.010324086
51	-1.899999976	-1.000000000	0.011753322
52	-1.899999976	-0.899999976	0.013435037
53	-1.899999976	-0.800000012	0.015424456
54	-1.899999976	-0.699999988	0.017789727
55	-1.899999976	-0.600000024	0.020612961
56	-1.899999976	-0.500000000	0.023986910
57	-1.899999976	-0.400000006	0.027997917
58	-1.899999976	-0.300000012	0.032666847
59	-1.899999976	-0.200000003	0.037762351
60	-1.899999976	-0.100000001	0.042240877
61	-1.899999976	0.000000000	0.043122172
62	-1.899999976	0.100000001	0.038037878
63	-1.899999976	0.200000003	0.030668736
64	-1.899999976	0.300000012	0.023972901
65	-1.899999976	0.400000006	0.018599993
66	-1.899999976	0.500000000	0.014450427
67	-1.899999976	0.600000024	0.011278635
68	-1.899999976	0.699999988	0.008853960
69	-1.899999976	0.800000012	0.006992430
70	-1.899999976	0.899999976	0.005554776
71	-1.899999976	1.000000000	0.004437333
72	-1.899999976	1.100000024	0.003563196
73	-1.899999976	1.200000048	0.002875160
74	-1.899999976	1.299999952	0.002330437
75	-1.899999976	1.399999976	0.001896814
76	-1.899999976	1.500000000	0.001549863
77	-1.899999976	1.600000024	0.001270943
78	-1.899999976	1.700000048	0.001045717
79	-1.899999976	1.799999952	0.000863100
80	-1.899999976	1.899999976	0.000714461
81	-1.899999976	2.000000000	0.000593042
82	-1.799999952	-2.000000000	0.004109866
83	-1.799999952	-1.899999976	0.004562194
84	-1.799999952	-1.799999952	0.005074592
85	-1.799999952	-1.700000048	0.005656866
86	-1.799999952	-1.600000024	0.006320789
87	-1.799999952	-1.500000000	0.007080560
88	-1.799999952	-1.399999976	0.007953425
89	-1.799999952	-1.299999952	0.008960450
90	-1.799999952	-1.200000048	0.010127517
91	-1.799999952	-1.100000024	0.011486601
92	-1.799999952	-1.000000000	0.013077398
93	-1.799999952	-0.899999976	0.014949331
94	-1.799999952	-0.800000012	0.017163895
95	-1.799999952	-0.699999988	0.019797038
96	-1.799999952	-0.600000024	0.022940144
97	-1.799999952	-0.500000000	0.026696520
98	-1.799999952	-0.400000006	0.031162120
99	-1.799999952	-0.300000012	0.036359619
100	-1.799999952	-0.200000003	0.042029548
101	-1.799999952	-0.100000001	0.047004543
102	-1.799999952	0.000000000	0.047953371
103	-1.799999952	0.100000001	0.042240873
104	-1.799999952	0.200000003	0.033998478
105	-1.799999952	0.300000012	0.026528712
106	-1.799999952	0.400000006	0.020547938
107	-1.799999952	0.500000000	0.015938014
108	-1.799999952	0.600000024	0.012420808
109	-1.799999952	0.699999988	0.009736652
110	-1.799999952	0.800000012	0.007679197
111	-1.799999952	0.899999976	0.006092615
112	-1.799999952	1.000000000	0.004861162
113	-1.799999952	1.100000024	0.003899129
114	-1.799999952	1.200000048	0.003142867
115	-1.799999952	1.299999952	0.002544850
116	-1.799999952	1.399999976	0.002069343
117	-1.799999952	1.500000000	0.001689296
118	-1.799999952	1.600000024	0.001384080
119	-1.799999952	1.700000048	0.001137866
120	-1.799999952	1.799999952	0.000938418
121	-1.799999952	1.899999976	0.000776223
122	-1.799999952	2.000000000	0.000643845
123	-1.700000048	-2.000000000	0.004581179
124	-1.700000048	-1.899999976	0.005085520
125	-1.700000048	-1.799999952	0.005656866
126	-1.700000048	-1.700000048	0.006306156
127	-1.700000048	-1.600000024	0.007046524
128	-1.700000048	-1.500000000	0.007893817
129	-1.700000048	-1.399999976	0.008867279
130	-1.700000048	-1.299999952	0.009990435
131	-1.700000048	-1.200000048	0.011292152
132	-1.700000048	-1.100000024	0.012808132
133	-1.700000048	-1.000000000	0.014582691
134	-1.700000048	-0.899999976	0.016670993
135	-1.700000048	-0.800000012	0.019141715
136	-1.700000048	-0.699999988	0.022079598
137	-1.700000048	-0.600000024	0.025586687
138	-1.700000048	-0.500000000	0.029778207
139	-1.700000048	-0.400000006	0.034761034
140	-1.700000048	-0.300000012	0.040559866
141	-1.700000048	-0.200000003	0.046882853
142	-1.700000048	-0.100000001	0.052420788
143	-1.700000048	0.000000000	0.053440738
144	-1.700000048	0.100000001	0.047004540
145	-1.700000048	0.200000003	0.037762348
146	-1.700000048	0.300000012	0.029409898
147	-1.700000048	0.400000006	0.022738110
148	-1.700000048	0.500000000	0.017606499
149	-1.700000048	0.600000024	0.013698881
150	-1.700000048	0.699999988	0.010722227
151	-1.700000048	0.800000012	0.008444447
152	-1.700000048	0.899999976	0.006690771
153	-1.700000048	1.000000000	0.005331676
154	-1.700000048	1.100000024	0.004271434
155	-1.700000048	1.200000048	0.003439087
156	-1.700000048	1.299999952	0.002781740
157	-1.700000048	1.399999976	0.002259689
158	-1.700000048	1.500000000	0.001842918
159	-1.700000048	1.600000024	0.001508573
160	-1.700000048	1.700000048	0.001239140
161	-1.700000048	1.799999952	0.001021098
162	-1.700000048	1.899999976	0.000843949
163	-1.700000048	2.000000000	0.000699495
164	-1.600000024	-2.000000000	0.005118527
165	-1.600000024	-1.899999976	0.005682202
166	-1.600000024	-1.799999952	0.006320789
167	-1.600000024	-1.700000048	0.007046524
168	-1.600000024	-1.600000024	0.007874099
169	-1.600000024	-1.500000000	0.008821241
170	-1.600000024	-1.399999976	0.009909490
171	-1.600000024	-1.299999952	0.011165142
172	-1.600000024	-1.200000048	0.012620516
173	-1.600000024	-1.100000024	0.014315564
174	-1.600000024	-1.000000000	0.016299853
175	-1.600000024	-0.899999976	0.018635146
176	-1.600000024	-0.800000012	0.021398276
177	-1.600000024	-0.699999988	0.024684062
178	-1.600000024	-0.600000024	0.028606718
179	-1.600000024	-0.500000000	0.033295061
180	-1.600000024	-0.400000006	0.038868520
181	-1.600000024	-0.300000012	0.045353744
182	-1.600000024	-0.200000003	0.052421782
183	-1.600000024	-0.100000001	0.058600012
184	-1.600000024	0.000000000	0.059694208
185	-1.600000024	0.100000001	0.052420788
186	-1.600000024	0.200000003	0.042029545
187	-1.600000024	0.300000012	0.032666843
188	-1.600000024	0.400000006	0.025207032
189	-1.600000024	0.500000000	0.019482354
190	-1.600000024	0.600000024	0.015132278
191	-1.600000024	0.699999988	0.011825006
192	-1.600000024	0.800000012	0.009298848
193	-1.600000024	0.899999976	0.007357256
194	-1.600000024	1.000000000	0.005854935
195	-1.600000024	1.100000024	0.004684729
196	-1.600000024	1.200000048	0.003767365
197	-1.600000024	1.299999952	0.003043852
198	-1.600000024	1.399999976	0.002469984
199	-1.600000024	1.500000000	0.002012398
200	-1.600000024	1.600000024	0.001645734
201	-1.600000024	1.700000048	0.001350575
202	-1.600000024	1.799999952	0.001111963
203	-1.600000024	1.899999976	0.000918294
204	-1.600000024	2.000000000	0.000760518
205	-1.500000000	-2.000000000	0.005733402
206	-1.500000000	-1.899999976	0.006364994
207	-1.500000000	-1.799999952	0.007080560
208	-1.500000000	-1.700000048	0.007893816
209	-1.500000000	-1.600000024	0.008821241
210	-1.500000000	-1.500000000	0.009882728
211	-1.500000000	-1.399999976	0.011102416
212	-1.500000000	-1.299999952	0.012509813
213	-1.500000000	-1.200000048	0.014141185
214	-1.500000000	-1.100000024	0.016041331
215	-1.500000000	-1.000000000	0.018265899
216	-1.500000000	-0.899999976	0.020884147
217	-1.500000000	-0.800000012	0.023982307
218	-1.500000000	-0.699999988	0.027666781
219	-1.500000000	-0.600000024	0.032065671
220	-1.500000000	-0.500000000	0.037323419
221	-1.500000000	-0.400000006	0.043573707
222	-1.500000000	-0.300000012	0.050845459
223	-1.500000000	-0.200000003	0.058766473
